project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:xerces,AV0KexMft6tne_r57SVE,AV0KexMft6tne_r57SVE,AV0KezWqt6tne_r57TOV,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 22:00:29,2017-07-03 22:00:29,,Complete the task associated to this TODO comment.,QC:xerces:src/org/apache/xerces/stax/events/EntityDeclarationImpl.java,87.0,87.0,0.0,43.0,,
QC:xerces,AV0KexMft6tne_r57SVE,AV0KexMft6tne_r57SVE,AV0KezXZt6tne_r57TO2,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 22:00:29,2017-07-03 22:00:29,,Complete the task associated to this TODO comment.,QC:xerces:src/org/apache/xerces/jaxp/SAXParserImpl.java,385.0,385.0,0.0,54.0,,
QC:xerces,AV0KexMft6tne_r57SVE,AV0KexMft6tne_r57SVE,AV0KezXZt6tne_r57TO4,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 22:00:29,2017-07-03 22:00:29,,Complete the task associated to this TODO comment.,QC:xerces:src/org/apache/xerces/jaxp/SAXParserImpl.java,445.0,445.0,0.0,54.0,,
QC:xerces,AV0KexMft6tne_r57SVE,AV0KexMft6tne_r57SVE,AV0KezXZt6tne_r57TO5,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 22:00:29,2017-07-03 22:00:29,,Complete the task associated to this TODO comment.,QC:xerces:src/org/apache/xerces/jaxp/SAXParserImpl.java,520.0,520.0,0.0,54.0,,
QC:xerces,AV0KexMft6tne_r57SVE,AV0KexMft6tne_r57SVE,AV0KezYIt6tne_r57TQk,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 22:00:29,2017-07-03 22:00:29,,Complete the task associated to this TODO comment.,QC:xerces:src/org/apache/xerces/jaxp/datatype/DurationImpl.java,318.0,318.0,0.0,18.0,,
QC:xerces,AV0KexMft6tne_r57SVE,AV0KexMft6tne_r57SVE,AV0KezYIt6tne_r57TQl,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 22:00:29,2017-07-03 22:00:29,,Complete the task associated to this TODO comment.,QC:xerces:src/org/apache/xerces/jaxp/datatype/DurationImpl.java,508.0,508.0,0.0,21.0,,
QC:xerces,AV0KexMft6tne_r57SVE,AV0KexMft6tne_r57SVE,AV0KezYIt6tne_r57TQo,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 22:00:29,2017-07-03 22:00:29,,Complete the task associated to this TODO comment.,QC:xerces:src/org/apache/xerces/jaxp/datatype/DurationImpl.java,533.0,533.0,0.0,28.0,,
QC:xerces,AV0KexMft6tne_r57SVE,AV0KexMft6tne_r57SVE,AV0KezYIt6tne_r57TQr,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 22:00:29,2017-07-03 22:00:29,,Complete the task associated to this TODO comment.,QC:xerces:src/org/apache/xerces/jaxp/datatype/DurationImpl.java,559.0,559.0,0.0,30.0,,
QC:xerces,AV0KexMft6tne_r57SVE,AV0KexMft6tne_r57SVE,AV0KezYIt6tne_r57TQs,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 22:00:29,2017-07-03 22:00:29,,Complete the task associated to this TODO comment.,QC:xerces:src/org/apache/xerces/jaxp/datatype/DurationImpl.java,560.0,560.0,0.0,35.0,,
QC:xerces,AV0KexMft6tne_r57SVE,AV0KexMft6tne_r57SVE,AV0KezYIt6tne_r57TQt,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 22:00:29,2017-07-03 22:00:29,,Complete the task associated to this TODO comment.,QC:xerces:src/org/apache/xerces/jaxp/datatype/DurationImpl.java,561.0,561.0,0.0,28.0,,
