project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:xmojo,AV0KeAJ-t6tne_r57SKD,AV0KeAJ-t6tne_r57SKD,AV0KeARyt6tne_r57SPQ,CODE_SMELL,squid:S1125,MINOR,OPEN,,2,2,clumsy,2017-07-03 21:58:27,2017-07-03 21:58:27,,"Remove the literal ""false"" boolean value.",QC:xmojo:examples/mbeans/dynamic/src/examples/applications/server/ServerInfo.java,126.0,126.0,28.0,33.0,,
QC:xmojo,AV0KeAJ-t6tne_r57SKD,AV0KeAJ-t6tne_r57SKD,AV0KeATPt6tne_r57SUo,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 21:58:27,2017-07-03 21:58:27,,Replace this use of System.out or System.err by a logger.,QC:xmojo:examples/mbeans/model/src/examples/agent/RunModelAgent.java,127.0,127.0,12.0,22.0,,
QC:xmojo,AV0KeAJ-t6tne_r57SKD,AV0KeAJ-t6tne_r57SKD,AV0KeATPt6tne_r57SUp,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 21:58:27,2017-07-03 21:58:27,,Replace this use of System.out or System.err by a logger.,QC:xmojo:examples/mbeans/model/src/examples/agent/RunModelAgent.java,129.0,129.0,12.0,22.0,,
QC:xmojo,AV0KeAJ-t6tne_r57SKD,AV0KeAJ-t6tne_r57SKD,AV0KeARyt6tne_r57SPT,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 21:58:27,2017-07-03 21:58:27,,Replace all tab characters in this file by sequences of white-spaces.,QC:xmojo:examples/mbeans/dynamic/src/examples/applications/server/ServerInfo.java,,,,,,
QC:xmojo,AV0KeAJ-t6tne_r57SKD,AV0KeAJ-t6tne_r57SKD,AV0KeATPt6tne_r57SUr,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 21:58:27,2017-07-03 21:58:27,,Replace this use of System.out or System.err by a logger.,QC:xmojo:examples/mbeans/model/src/examples/agent/RunModelAgent.java,170.0,170.0,24.0,34.0,,
QC:xmojo,AV0KeAJ-t6tne_r57SKD,AV0KeAJ-t6tne_r57SKD,AV0KeASBt6tne_r57SPW,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 21:58:27,2017-07-03 21:58:27,,Replace this use of System.out or System.err by a logger.,QC:xmojo:examples/mbeans/standard/src/examples/mbeans/standard/ServerInfo.java,116.0,116.0,8.0,18.0,,
QC:xmojo,AV0KeAJ-t6tne_r57SKD,AV0KeAJ-t6tne_r57SKD,AV0KeASBt6tne_r57SPX,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-03 21:58:27,2017-07-03 21:58:27,,"Introduce a new variable instead of reusing the parameter ""serverId"".",QC:xmojo:examples/mbeans/standard/src/examples/mbeans/standard/ServerInfo.java,56.0,56.0,8.0,16.0,,
QC:xmojo,AV0KeAJ-t6tne_r57SKD,AV0KeAJ-t6tne_r57SKD,AV0KeATPt6tne_r57SUt,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 21:58:27,2017-07-03 21:58:27,,Replace this use of System.out or System.err by a logger.,QC:xmojo:examples/mbeans/model/src/examples/agent/RunModelAgent.java,195.0,195.0,7.0,17.0,,
QC:xmojo,AV0KeAJ-t6tne_r57SKD,AV0KeAJ-t6tne_r57SKD,AV0KeASBt6tne_r57SPZ,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 21:58:27,2017-07-03 21:58:27,,Replace all tab characters in this file by sequences of white-spaces.,QC:xmojo:examples/mbeans/standard/src/examples/mbeans/standard/ServerInfo.java,,,,,,
QC:xmojo,AV0KeAJ-t6tne_r57SKD,AV0KeAJ-t6tne_r57SKD,AV0KeASBt6tne_r57SPa,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 21:58:27,2017-07-03 21:58:27,,Replace this use of System.out or System.err by a logger.,QC:xmojo:examples/mbeans/standard/src/examples/mbeans/standard/Overloaded.java,73.0,73.0,12.0,22.0,,
