project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
TIS:parkbz,AVo808v4OQHNsFaZlXYy,AVo808v4OQHNsFaZlXYy,04927b1f-c2f5-4503-acb6-01fc16d494bc,CODE_SMELL,python:S1717,MAJOR,OPEN,,2,2,,2013-02-10 23:00:00,2013-02-10 23:00:00,,"Remove this ""\"", add another ""\"" to escape it, or make this a raw string.",TIS:parkbz:parkbz/trunk/controllers/appadmin.py,,,,,,
TIS:parkbz,AVo808v4OQHNsFaZlXYy,AVo808v4OQHNsFaZlXYy,0a417e96-e620-4449-bbb0-d0715518c7f6,CODE_SMELL,python:S125,MAJOR,OPEN,,5,5,"misra,unused",2013-02-10 23:00:00,2013-02-10 23:00:00,,Remove this commented out code.,TIS:parkbz:parkbz/trunk/controllers/appadmin.py,,,,,,
TIS:parkbz,AVo808v4OQHNsFaZlXYy,AVo808v4OQHNsFaZlXYy,12640b5a-e317-44a7-95bb-af3b733fdb7d,VULNERABILITY,python:S1313,MAJOR,OPEN,,30,30,cert,2013-02-10 23:00:00,2013-02-10 23:00:00,,"Make this IP ""127.0.0.1"" address configurable.",TIS:parkbz:parkbz/trunk/controllers/appadmin.py,,,,,,
TIS:parkbz,AVo808v4OQHNsFaZlXYy,AVo808v4OQHNsFaZlXYy,32bddd0f-1b83-43ca-b68a-97b87125507a,CODE_SMELL,python:S1542,MAJOR,OPEN,,10,10,convention,2013-02-10 23:00:00,2013-02-10 23:00:00,,"Rename function ""FONT"" to match the regular expression ^[a-z_][a-z0-9_]{2,30}$.",TIS:parkbz:parkbz/trunk/controllers/appadmin.py,,,,,,
TIS:parkbz,AVo808v4OQHNsFaZlXYy,AVo808v4OQHNsFaZlXYy,4a869f2a-f413-4556-8944-66c753ebd74d,CODE_SMELL,python:S1717,MAJOR,OPEN,,2,2,,2013-02-10 23:00:00,2013-02-10 23:00:00,,"Remove this ""\"", add another ""\"" to escape it, or make this a raw string.",TIS:parkbz:parkbz/trunk/controllers/appadmin.py,,,,,,
TIS:parkbz,AVo808v4OQHNsFaZlXYy,AVo808v4OQHNsFaZlXYy,675497ce-859b-4133-b123-9d2429af5dff,CODE_SMELL,python:S1110,MAJOR,OPEN,,1,1,confusing,2013-02-10 23:00:00,2013-02-10 23:00:00,,Remove those useless parentheses,TIS:parkbz:parkbz/trunk/controllers/appadmin.py,,,,,,
TIS:parkbz,AVo808v4OQHNsFaZlXYy,AVo808v4OQHNsFaZlXYy,692b5d5d-713b-4f8e-ad4d-1bed58b1e1f6,CODE_SMELL,python:S1542,MAJOR,OPEN,,10,10,convention,2013-02-10 23:00:00,2013-02-10 23:00:00,,"Rename function ""GetInHMS"" to match the regular expression ^[a-z_][a-z0-9_]{2,30}$.",TIS:parkbz:parkbz/trunk/controllers/appadmin.py,,,,,,
TIS:parkbz,AVo808v4OQHNsFaZlXYy,AVo808v4OQHNsFaZlXYy,71594c98-d339-46a4-b460-07cebe16bfa6,CODE_SMELL,python:S1110,MAJOR,OPEN,,1,1,confusing,2013-02-10 23:00:00,2013-02-10 23:00:00,,Remove those useless parentheses,TIS:parkbz:parkbz/trunk/controllers/appadmin.py,,,,,,
TIS:parkbz,AVo808v4OQHNsFaZlXYy,AVo808v4OQHNsFaZlXYy,7b4d574c-bd45-4ec6-bc9b-af76733f62fe,CODE_SMELL,python:S1717,MAJOR,OPEN,,2,2,,2013-02-10 23:00:00,2013-02-10 23:00:00,,"Remove this ""\"", add another ""\"" to escape it, or make this a raw string.",TIS:parkbz:parkbz/trunk/controllers/appadmin.py,,,,,,
TIS:parkbz,AVo808v4OQHNsFaZlXYy,AVo808v4OQHNsFaZlXYy,8a43c488-8f72-4667-bc44-67b9d3957e7d,CODE_SMELL,python:S1717,MAJOR,OPEN,,2,2,,2013-02-10 23:00:00,2013-02-10 23:00:00,,"Remove this ""\"", add another ""\"" to escape it, or make this a raw string.",TIS:parkbz:parkbz/trunk/controllers/appadmin.py,,,,,,
