project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,0b314954-0c13-4f8c-b74b-1b0061ba7dac,CODE_SMELL,python:S1110,MAJOR,OPEN,,1,1,confusing,2012-12-17 23:00:00,2012-12-17 23:00:00,,Remove those useless parentheses,TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,1de7484e-b4d6-4ca3-8dd9-058009c4f82a,CODE_SMELL,python:S1717,MAJOR,OPEN,,2,2,,2012-12-17 23:00:00,2012-12-17 23:00:00,,"Remove this ""\"", add another ""\"" to escape it, or make this a raw string.",TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,2248ec5f-6ad1-4fc8-a3c0-ab7a4e925138,CODE_SMELL,python:S134,MAJOR,OPEN,,10,10,brain-overload,2012-12-17 23:00:00,2012-12-17 23:00:00,,"Refactor this code to not nest more than 3 ""if"", ""for"", ""while"", ""try"" and ""with"" statements.",TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,2e484581-2199-44f3-826b-74d1514c8fb0,CODE_SMELL,python:S134,MAJOR,OPEN,,10,10,brain-overload,2012-12-17 23:00:00,2012-12-17 23:00:00,,"Refactor this code to not nest more than 3 ""if"", ""for"", ""while"", ""try"" and ""with"" statements.",TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,3e6e9704-dc10-42c1-bbdc-ba99863a33f1,CODE_SMELL,python:FunctionComplexity,MAJOR,OPEN,,11,11,brain-overload,2012-12-17 23:00:00,2012-12-17 23:00:00,,Function has a complexity of 23 which is greater than 10 authorized.,TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,45acdd84-e06f-4a2b-a581-a83e620a7501,CODE_SMELL,python:S134,MAJOR,OPEN,,10,10,brain-overload,2012-12-17 23:00:00,2012-12-17 23:00:00,,"Refactor this code to not nest more than 3 ""if"", ""for"", ""while"", ""try"" and ""with"" statements.",TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,48b2981a-7437-4d36-93fb-a6a8b46de664,CODE_SMELL,python:S1110,MAJOR,OPEN,,1,1,confusing,2012-12-17 23:00:00,2012-12-17 23:00:00,,Remove those useless parentheses,TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,4c1ac075-c807-415d-807a-9b2f66d08f2c,CODE_SMELL,python:S1717,MAJOR,OPEN,,2,2,,2012-12-17 23:00:00,2012-12-17 23:00:00,,"Remove this ""\"", add another ""\"" to escape it, or make this a raw string.",TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,56d3a17c-7e82-40f7-a767-bdd352f18dcd,CODE_SMELL,python:S1717,MAJOR,OPEN,,2,2,,2012-12-17 23:00:00,2012-12-17 23:00:00,,"Remove this ""\"", add another ""\"" to escape it, or make this a raw string.",TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,6dc42f4b-30c7-4334-a6a9-64ab7e1e3ebc,VULNERABILITY,python:S1313,MAJOR,OPEN,,30,30,cert,2012-12-17 23:00:00,2012-12-17 23:00:00,,"Make this IP ""127.0.0.1"" address configurable.",TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,7788fbab-fba9-4e52-bb88-3ec6358b297a,CODE_SMELL,python:S1717,MAJOR,OPEN,,2,2,,2012-12-17 23:00:00,2012-12-17 23:00:00,,"Remove this ""\"", add another ""\"" to escape it, or make this a raw string.",TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,89330bb6-86da-4e24-8d10-15b352fec0a9,VULNERABILITY,python:S1313,MAJOR,OPEN,,30,30,cert,2012-12-17 23:00:00,2012-12-17 23:00:00,,"Make this IP ""127.0.0.1"" address configurable.",TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,a24ea085-61a9-40c7-8be5-2c51ffaefe0a,VULNERABILITY,python:S1313,MAJOR,OPEN,,30,30,cert,2012-12-17 23:00:00,2012-12-17 23:00:00,,"Make this IP ""127.0.0.1"" address configurable.",TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,a3d64b8e-d7f6-4708-a382-b20eabfe6a55,CODE_SMELL,python:S1717,MAJOR,OPEN,,2,2,,2012-12-17 23:00:00,2012-12-17 23:00:00,,"Remove this ""\"", add another ""\"" to escape it, or make this a raw string.",TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,b0441a81-38f9-4887-8ce4-8ffd6f2b06ce,CODE_SMELL,python:S1717,MAJOR,OPEN,,2,2,,2012-12-17 23:00:00,2012-12-17 23:00:00,,"Remove this ""\"", add another ""\"" to escape it, or make this a raw string.",TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,AVo808wIOQHNsFaZlXcN,b048bbe9-33ec-4b3f-b08f-c3e5c867e585,CODE_SMELL,python:S1717,MAJOR,OPEN,,2,2,,2012-12-17 23:00:00,2012-12-17 23:00:00,,"Remove this ""\"", add another ""\"" to escape it, or make this a raw string.",TIS:vtraffic:vtraffic/trunk/controllers/appadmin.py,,,,,,
