project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz38VG0XxMwG_WCkP,BUG,javascript:TrailingComma,BLOCKER,OPEN,,1,1,cross-browser,2017-05-11 07:06:41,2017-08-29 05:19:07,,Remove this trailing comma.,ch:lib/Page.js,42.0,42.0,40.0,41.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz36YG0XxMwG_WCiM,BUG,javascript:TrailingComma,BLOCKER,OPEN,,1,1,cross-browser,2017-05-11 07:06:41,2017-08-29 05:19:07,,Remove this trailing comma.,ch:install.js,71.0,71.0,23.0,24.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz38kG0XxMwG_WCkj,CODE_SMELL,javascript:S100,MINOR,OPEN,,5,5,convention,2017-05-12 23:38:07,2017-08-29 05:19:07,,Rename this 'SX' function to match the regular expression ^[a-z][a-zA-Z0-9]*$,ch:test/test.js,2249.0,2249.0,9.0,11.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz38VG0XxMwG_WCkM,CODE_SMELL,javascript:S100,MINOR,OPEN,,5,5,convention,2017-05-13 20:44:24,2017-08-29 05:19:07,,Rename this '_onDialog' function to match the regular expression ^[a-z][a-zA-Z0-9]*$,ch:lib/Page.js,312.0,312.0,2.0,11.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz36nG0XxMwG_WCiT,CODE_SMELL,javascript:FunctionComplexity,MAJOR,OPEN,,13,13,brain-overload,2017-06-08 18:22:21,2017-08-29 05:19:07,,Function has a complexity of 13 which is greater than 10 authorized.,ch:utils/check_availability.js,66.0,66.0,0.0,44.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz36nG0XxMwG_WCiV,CODE_SMELL,javascript:ArrayAndObjectConstructors,MAJOR,OPEN,,5,5,suspicious,2017-06-08 18:22:21,2017-08-29 05:19:07,,Use a literal instead of the Array constructor.,ch:utils/check_availability.js,154.0,154.0,9.0,24.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz36nG0XxMwG_WCiX,VULNERABILITY,javascript:S2228,MAJOR,OPEN,,5,5,"owasp-a6,user-experience",2017-06-08 18:22:21,2017-08-29 05:19:07,,Remove this logging statement.,ch:utils/check_availability.js,54.0,54.0,2.0,13.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz36nG0XxMwG_WCiY,VULNERABILITY,javascript:S2228,MAJOR,OPEN,,5,5,"owasp-a6,user-experience",2017-06-08 18:22:21,2017-08-29 05:19:07,,Remove this logging statement.,ch:utils/check_availability.js,67.0,67.0,2.0,13.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz36nG0XxMwG_WCiO,BUG,javascript:TrailingComma,BLOCKER,OPEN,,1,1,cross-browser,2017-06-08 18:22:21,2017-08-29 05:19:07,,Remove this trailing comma.,ch:utils/ChromiumDownloader.js,34.0,34.0,96.0,97.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz36nG0XxMwG_WCiP,BUG,javascript:TrailingComma,BLOCKER,OPEN,,1,1,cross-browser,2017-06-08 18:22:21,2017-08-29 05:19:07,,Remove this trailing comma.,ch:utils/ChromiumDownloader.js,154.0,154.0,3.0,4.0,,
