project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
firefox,AV4x5cTXG0XxMwG_WGgM,AV4Tc8F2G0XxMwG_VOas,AV4Tc8gNG0XxMwG_VO6V,CODE_SMELL,javascript:TabCharacter,MINOR,CLOSED,FIXED,2,2,convention,2015-03-02 15:49:57,2017-08-29 20:03:39,2017-08-29 20:03:39,Replace all tab characters in this file by sequences of white-spaces.,firefox:mozjexl/lib/Lexer.js,7.0,7.0,0.0,45.0,,
firefox,AV4x5cTXG0XxMwG_WGgM,AV4Tc8F2G0XxMwG_VOas,AV4Tc8gdG0XxMwG_VO6b,CODE_SMELL,javascript:EqEqEq,MAJOR,CLOSED,FIXED,5,5,suspicious,2015-03-02 15:49:57,2017-08-29 20:03:39,2017-08-29 20:03:39,"Replace ""!="" with ""!=="".",firefox:mozjexl/lib/grammar.js,38.0,38.0,44.0,46.0,,
firefox,AV4x5cTXG0XxMwG_WGgM,AV4Tc8F2G0XxMwG_VOas,AV4Tc8gdG0XxMwG_VO6d,CODE_SMELL,javascript:EqEqEq,MAJOR,CLOSED,FIXED,5,5,suspicious,2015-03-02 15:49:57,2017-08-29 20:03:39,2017-08-29 20:03:39,"Replace ""=="" with ""==="".",firefox:mozjexl/lib/grammar.js,36.0,36.0,44.0,46.0,,
firefox,AV4x5cTXG0XxMwG_WGgM,AV4Tc8F2G0XxMwG_VOas,AV4Tc8gtG0XxMwG_VO6k,CODE_SMELL,javascript:S138,MAJOR,CLOSED,FIXED,20,20,brain-overload,2015-03-02 15:49:57,2017-08-29 20:03:39,2017-08-29 20:03:39,"This function has 181 lines, which is greater than the 100 lines authorized. Split it into smaller functions.",firefox:mozjexl/test/Lexer.js,12.0,12.0,18.0,28.0,,
firefox,AV4x5cTXG0XxMwG_WGgM,AV4Tc8F2G0XxMwG_VOas,AV4Tc8gtG0XxMwG_VO6n,CODE_SMELL,javascript:S138,MAJOR,CLOSED,FIXED,20,20,brain-overload,2015-03-02 15:49:57,2017-08-29 20:03:39,2017-08-29 20:03:39,"This function has 152 lines, which is greater than the 100 lines authorized. Split it into smaller functions.",firefox:mozjexl/test/evaluator/Evaluator.js,24.0,24.0,22.0,32.0,,
firefox,AV4x5cTXG0XxMwG_WGgM,AV4Tc8F2G0XxMwG_VOas,AV4Tc8gNG0XxMwG_VO6T,CODE_SMELL,javascript:EqEqEq,MAJOR,CLOSED,FIXED,5,5,suspicious,2015-03-02 15:49:57,2017-08-29 20:03:39,2017-08-29 20:03:39,"Replace ""=="" with ""==="".",firefox:mozjexl/lib/Lexer.js,142.0,142.0,37.0,39.0,,
firefox,AV4x5cTXG0XxMwG_WGgM,AV4Tc8F2G0XxMwG_VOas,AV4Tc8gNG0XxMwG_VO6U,CODE_SMELL,javascript:EqEqEq,MAJOR,CLOSED,FIXED,5,5,suspicious,2015-03-02 15:49:57,2017-08-29 20:03:39,2017-08-29 20:03:39,"Replace ""=="" with ""==="".",firefox:mozjexl/lib/Lexer.js,142.0,142.0,16.0,18.0,,
firefox,AV4x5cTXG0XxMwG_WGgM,AV4Tc8F2G0XxMwG_VOas,AV4Tc8gtG0XxMwG_VO6o,CODE_SMELL,javascript:TabCharacter,MINOR,CLOSED,FIXED,2,2,convention,2015-03-02 15:49:57,2017-08-29 20:03:39,2017-08-29 20:03:39,Replace all tab characters in this file by sequences of white-spaces.,firefox:mozjexl/test/evaluator/Evaluator.js,7.0,7.0,0.0,46.0,,
firefox,AV4x5cTXG0XxMwG_WGgM,AV4Tc8F2G0XxMwG_VOas,AV4Tc8gdG0XxMwG_VO6e,CODE_SMELL,javascript:TabCharacter,MINOR,CLOSED,FIXED,2,2,convention,2015-03-03 15:15:52,2017-08-29 20:03:39,2017-08-29 20:03:39,Replace all tab characters in this file by sequences of white-spaces.,firefox:mozjexl/lib/grammar.js,12.0,12.0,0.0,20.0,,
firefox,AV4x5cTXG0XxMwG_WGgM,AV4Tc8F2G0XxMwG_VOas,AV4Tc8gdG0XxMwG_VO6c,CODE_SMELL,javascript:EqEqEq,MAJOR,CLOSED,FIXED,5,5,suspicious,2015-03-04 16:52:33,2017-08-29 20:03:39,2017-08-29 20:03:39,"Replace ""=="" with ""==="".",firefox:mozjexl/lib/grammar.js,57.0,57.0,17.0,19.0,,
firefox,AV4x5cTXG0XxMwG_WGgM,AV4Tc8F2G0XxMwG_VOas,AV4Tc8f-G0XxMwG_VO6M,CODE_SMELL,javascript:TabCharacter,MINOR,CLOSED,FIXED,2,2,convention,2015-03-05 03:19:15,2017-08-29 20:03:39,2017-08-29 20:03:39,Replace all tab characters in this file by sequences of white-spaces.,firefox:mozjexl/lib/parser/handlers.js,11.0,11.0,0.0,29.0,,
