project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
io,AVo808_wOQHNsFaZlYhL,AVo808_wOQHNsFaZlYhL,AVUEdbGDK2ERix7aht-1,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,error-handling,2002-01-25 23:00:00,2002-01-25 23:00:00,,Either log or rethrow this exception.,io:java/org/apache/commons/io/FileUtils.java,940.0,940.0,21.0,33.0,,
io,AVo808_wOQHNsFaZlYhv,AVo808_wOQHNsFaZlYhv,AVUEd2OBK2ERix7aht_e,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,unused",2002-02-21 23:00:00,2002-02-21 23:00:00,,Remove the declaration of thrown exception 'java.lang.ArrayIndexOutOfBoundsException' which is a runtime exception.,io:java/org/apache/commons/io/HexDump.java,61.0,61.0,32.0,62.0,,
io,AVo808_wOQHNsFaZlYhv,AVo808_wOQHNsFaZlYhv,AVUEd2OBK2ERix7aht_f,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,unused",2002-02-21 23:00:00,2002-02-21 23:00:00,,Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.,io:java/org/apache/commons/io/HexDump.java,62.0,62.0,12.0,36.0,,
io,AVo808_wOQHNsFaZlYhv,AVo808_wOQHNsFaZlYhv,AVUEd2OBK2ERix7aht_i,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,13,13,brain-overload,2002-02-21 23:00:00,2002-02-21 23:00:00,,"The Cyclomatic Complexity of this method ""dump"" is 13 which is greater than 10 authorized.",io:java/org/apache/commons/io/HexDump.java,59.0,59.0,23.0,27.0,,
io,AVo808_wOQHNsFaZlYhv,AVo808_wOQHNsFaZlYhv,AVUEd2OBK2ERix7aht_j,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2002-02-21 23:00:00,2002-02-21 23:00:00,,Move this variable to comply with Java Code Conventions.,io:java/org/apache/commons/io/HexDump.java,108.0,108.0,31.0,34.0,,
io,AVo808_wOQHNsFaZlYhv,AVo808_wOQHNsFaZlYhv,AVUEd2OBK2ERix7aht_k,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2002-02-21 23:00:00,2002-02-21 23:00:00,,Move this variable to comply with Java Code Conventions.,io:java/org/apache/commons/io/HexDump.java,110.0,110.0,38.0,46.0,,
io,AVo808_wOQHNsFaZlYhv,AVo808_wOQHNsFaZlYhv,AVUEd2OBK2ERix7aht_m,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2002-02-21 23:00:00,2002-02-21 23:00:00,,Move this variable to comply with Java Code Conventions.,io:java/org/apache/commons/io/HexDump.java,111.0,111.0,38.0,46.0,,
io,AVo808_wOQHNsFaZlYhv,AVo808_wOQHNsFaZlYhv,AVUEd2OBK2ERix7aht_n,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2002-02-21 23:00:00,2002-02-21 23:00:00,,Move this variable to comply with Java Code Conventions.,io:java/org/apache/commons/io/HexDump.java,117.0,117.0,31.0,38.0,,
io,AVo808_wOQHNsFaZlYhv,AVo808_wOQHNsFaZlYhv,AVUEd2OBK2ERix7aht_o,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2002-02-21 23:00:00,2002-02-21 23:00:00,,Rename this local variable name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,io:java/org/apache/commons/io/HexDump.java,72.0,72.0,13.0,27.0,,
io,AVo808_wOQHNsFaZlYhv,AVo808_wOQHNsFaZlYhv,AVUEd2OBK2ERix7aht_p,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2002-02-21 23:00:00,2002-02-21 23:00:00,,Rename this local variable name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,io:java/org/apache/commons/io/HexDump.java,76.0,76.0,16.0,26.0,,
io,AVo808_wOQHNsFaZlYhv,AVo808_wOQHNsFaZlYhv,AVUEd2OBK2ERix7aht_q,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,"multi-threading,performance",2002-02-21 23:00:00,2002-02-21 23:00:00,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",io:java/org/apache/commons/io/HexDump.java,73.0,73.0,8.0,20.0,,
io,AVo808_wOQHNsFaZlYhv,AVo808_wOQHNsFaZlYhv,AVUEd2OBK2ERix7aht_r,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,"multi-threading,performance",2002-02-21 23:00:00,2002-02-21 23:00:00,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",io:java/org/apache/commons/io/HexDump.java,110.0,110.0,25.0,37.0,,
io,AVo808_wOQHNsFaZlYhv,AVo808_wOQHNsFaZlYhv,AVUEd2OBK2ERix7aht_s,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,"multi-threading,performance",2002-02-21 23:00:00,2002-02-21 23:00:00,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",io:java/org/apache/commons/io/HexDump.java,111.0,111.0,25.0,37.0,,
io,AVo808_wOQHNsFaZlYhv,AVo808_wOQHNsFaZlYhv,AVUEd2OBK2ERix7aht_t,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,"multi-threading,performance",2002-02-21 23:00:00,2002-02-21 23:00:00,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",io:java/org/apache/commons/io/HexDump.java,128.0,128.0,19.0,31.0,,
io,AVo808_wOQHNsFaZlYhv,AVo808_wOQHNsFaZlYhv,AVUEd2OBK2ERix7aht_u,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,"multi-threading,performance",2002-02-21 23:00:00,2002-02-21 23:00:00,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",io:java/org/apache/commons/io/HexDump.java,143.0,143.0,19.0,31.0,,
io,AVo808_wOQHNsFaZlYiQ,AVo808_wOQHNsFaZlYiQ,AVUEeGA1K2ERix7aht_7,CODE_SMELL,code_smells:complex_class,MINOR,OPEN,,90,90,"antipattern,code-smell",2002-02-22 23:00:00,2002-02-22 23:00:00,,Complex class,io:java/org/apache/commons/io/FileUtils.java,10.0,10.0,0.0,3.0,,
io,AVo808_wOQHNsFaZlYiQ,AVo808_wOQHNsFaZlYiQ,AVUEeGBFK2ERix7ahuAA,CODE_SMELL,common-java:DuplicatedBlocks,MAJOR,OPEN,,60,60,pitfall,2002-02-22 23:00:00,2002-02-22 23:00:00,,5 duplicated blocks of code must be removed.,io:test/org/apache/commons/io/HexDumpTest.java,,,,,,
io,AVo808_wOQHNsFaZlYiQ,AVo808_wOQHNsFaZlYiQ,AVUEeGBFK2ERix7ahuAB,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,bad-practice,2002-02-22 23:00:00,2002-02-22 23:00:00,,Replace this usage of System.out or System.err by a logger.,io:test/org/apache/commons/io/HexDumpTest.java,266.0,266.0,8.0,18.0,,
io,AVo808_wOQHNsFaZlYiQ,AVo808_wOQHNsFaZlYiQ,AVUEeGBFK2ERix7ahuAC,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,23,23,brain-overload,2002-02-22 23:00:00,2002-02-22 23:00:00,,"The Cyclomatic Complexity of this method ""testDump"" is 23 which is greater than 10 authorized.",io:test/org/apache/commons/io/HexDumpTest.java,60.0,60.0,16.0,24.0,,
io,AVo808_wOQHNsFaZlYiQ,AVo808_wOQHNsFaZlYiQ,AVUEeGBFK2ERix7ahuAD,CODE_SMELL,squid:S1192,MINOR,OPEN,,10,10,design,2002-02-22 23:00:00,2002-02-22 23:00:00,,"Define a constant instead of duplicating this literal ""array size mismatch"" 4 times.",io:test/org/apache/commons/io/HexDumpTest.java,97.0,97.0,21.0,42.0,,
io,AVo808_wOQHNsFaZlYiQ,AVo808_wOQHNsFaZlYiQ,AVUEeGBFK2ERix7ahuAE,CODE_SMELL,squid:S1192,MINOR,OPEN,,10,10,design,2002-02-22 23:00:00,2002-02-22 23:00:00,,"Define a constant instead of duplicating this literal ""array[ "" 4 times.",io:test/org/apache/commons/io/HexDumpTest.java,100.0,100.0,25.0,34.0,,
io,AVo808_wOQHNsFaZlYiQ,AVo808_wOQHNsFaZlYiQ,AVUEeGBFK2ERix7ahuAF,CODE_SMELL,squid:S1192,MINOR,OPEN,,10,10,design,2002-02-22 23:00:00,2002-02-22 23:00:00,,"Define a constant instead of duplicating this literal ""] mismatch"" 4 times.",io:test/org/apache/commons/io/HexDumpTest.java,100.0,100.0,41.0,53.0,,
io,AVo808_wOQHNsFaZlYiQ,AVo808_wOQHNsFaZlYiQ,AVUEeGBFK2ERix7ahuAG,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,error-handling,2002-02-22 23:00:00,2002-02-22 23:00:00,,Either log or rethrow this exception.,io:test/org/apache/commons/io/HexDumpTest.java,225.0,225.0,17.0,65.0,,
io,AVo808_wOQHNsFaZlYiQ,AVo808_wOQHNsFaZlYiQ,AVUEeGBFK2ERix7ahuAH,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,error-handling,2002-02-22 23:00:00,2002-02-22 23:00:00,,Either log or rethrow this exception.,io:test/org/apache/commons/io/HexDumpTest.java,235.0,235.0,17.0,65.0,,
io,AVo808_wOQHNsFaZlYiQ,AVo808_wOQHNsFaZlYiQ,AVUEeGBFK2ERix7ahuAI,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,error-handling,2002-02-22 23:00:00,2002-02-22 23:00:00,,Either log or rethrow this exception.,io:test/org/apache/commons/io/HexDumpTest.java,244.0,244.0,17.0,59.0,,
io,AVo808_wOQHNsFaZlYiQ,AVo808_wOQHNsFaZlYiQ,AVUEeGBFK2ERix7ahuAJ,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2002-02-22 23:00:00,2002-02-22 23:00:00,,Rename this local variable name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,io:test/org/apache/commons/io/HexDumpTest.java,225.0,225.0,48.0,65.0,,
io,AVo808_wOQHNsFaZlYiQ,AVo808_wOQHNsFaZlYiQ,AVUEeGBFK2ERix7ahuAK,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2002-02-22 23:00:00,2002-02-22 23:00:00,,Rename this local variable name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,io:test/org/apache/commons/io/HexDumpTest.java,235.0,235.0,48.0,65.0,,
