analysis_key,complexity,file_complexity,complexity_in_classes,class_complexity,complexity_in_functions,function_complexity,class_complexity_distribution,function_complexity_distribution,file_complexity_distribution,xs,xs_percent,tangle_design,fat_class,fat_design,fat_leaf_package,fat_method,cognitive_complexity,tests,test_execution_time,test_errors,skipped_tests,test_failures,test_success_density,test_data,coverage,new_coverage,lines_to_cover,new_lines_to_cover,uncovered_lines,new_uncovered_lines,line_coverage,new_line_coverage,coverage_line_hits_data,conditions_to_cover,new_conditions_to_cover,uncovered_conditions,new_uncovered_conditions,branch_coverage,new_branch_coverage,conditions_by_line,covered_conditions_by_line,it_coverage,new_it_coverage,it_lines_to_cover,new_it_lines_to_cover,it_uncovered_lines,new_it_uncovered_lines,it_line_coverage,new_it_line_coverage,it_coverage_line_hits_data,it_conditions_to_cover,new_it_conditions_to_cover,it_uncovered_conditions,new_it_uncovered_conditions,it_branch_coverage,new_it_branch_coverage,it_conditions_by_line,it_covered_conditions_by_line,overall_coverage,new_overall_coverage,overall_lines_to_cover,new_overall_lines_to_cover,overall_uncovered_lines,new_overall_uncovered_lines,overall_line_coverage,new_overall_line_coverage,overall_coverage_line_hits_data,overall_conditions_to_cover,new_overall_conditions_to_cover,overall_uncovered_conditions,new_overall_uncovered_conditions,overall_branch_coverage,new_overall_branch_coverage,overall_conditions_by_line,overall_covered_conditions_by_line,executable_lines_data,arch_violations,arch_violations_weighted,public_api,public_documented_api_density,public_undocumented_api,commented_out_code_lines,duplicated_lines,duplicated_blocks,duplicated_files,duplicated_lines_density,duplications_data,new_duplicated_lines,new_duplicated_blocks,new_duplicated_lines_density,quality_gate_details,quality_profiles,arch-diagrams,s101.buildbreaker,Structure101_Web_Application_URL,project,violations,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,new_violations,new_blocker_violations,new_critical_violations,new_major_violations,new_minor_violations,new_info_violations,false_positive_issues,open_issues,reopened_issues,confirmed_issues,wont_fix_issues,afferent-couplings,efferent-couplings,number-of-classes-and-interfaces,package-dependency-cycles,missing_package_info,package,missing_package_info_count,package_count,package_info_count,java_count,sqale_index,new_technical_debt,sqale_rating,development_cost,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,new_code_smells,effort_to_reach_maintainability_rating_a,new_maintainability_rating,burned_budget,business_value,team_size,fat_method_list,s101_model_name,s101_model_sequential_actions,s101_model_refactoring_actions,s101_model_class_mappings,s101_model_alignment,alert_status,bugs,new_bugs,reliability_remediation_effort,new_reliability_remediation_effort,reliability_rating,new_reliability_rating,last_commit_date,vulnerabilities,new_vulnerabilities,security_remediation_effort,new_security_remediation_effort,security_rating,new_security_rating,lines,generated_lines,ncloc,ncloc_language_distribution,generated_ncloc,classes,files,directories,functions,accessors,statements,projects,comment_lines,comment_lines_density,ncloc_data,comment_lines_data,new_lines,sg_i.CORE_VIOLATIONS_COMPONENT_DEPENDENCIES,sg_i.CORE_BIGGEST_COMPONENT_CYCLE_GROUP,sg_i.CORE_UNASSIGNED_COMPONENTS,sg_i.CORE_EMPTY_ARTIFACT_COUNT,sg_i.CORE_LINES_OF_CODE,sg_i.CORE_NCCD,sg_i.CORE_DUPLICATES,sg_i.CORE_COMPONENT_DEPENDENCIES_TO_REMOVE_COMPONENTS,sg_i.CORE_CODE_COMMENT_LINES,sg_i.CORE_IGNORED_DUPLICATES,sg_i.CORE_THRESHOLD_VIOLATIONS,sg_i.CORE_COMMENT_LINES,sg_i.CORE_RELATIVE_CYCLICITY_COMPONENTS,sg_i.CORE_IGNORED_VIOLATIONS_PARSER_DEPENDENCIES,sg_i.CORE_CYCLIC_COMPONENTS,sg_i.JAVA_RELATIVE_CYCLICITY_PACKAGES,sg_i.CORE_VIOLATIONS_PARSER_DEPENDENCIES,sg_i.JAVA_COMPONENT_DEPENDENCIES_TO_REMOVE_PACKAGES,sg_i.CORE_TOTAL_LINES,sg_i.CORE_ARTIFACT_COUNT,sg_i.JAVA_IGNORED_CYCLIC_PACKAGES,sg_i.CORE_STRUCTURAL_DEBT_INDEX_COMPONENTS,sg_i.CORE_ACD,sg_i.JAVA_STRUCTURAL_DEBT_INDEX_PACKAGES,sg_i.JAVA_CYCLICITY_PACKAGES,sg_i.CORE_CCD,sg_i.CORE_VIOLATING_COMPONENTS,sg_i.JAVA_PACKAGES,sg_i.JAVA_CYCLIC_PACKAGES,sg_i.CORE_COMPONENTS,sg_i.CORE_MAX_ACD,sg_i.CORE_RACD,sg_i.CORE_COMPONENT_CYCLE_GROUPS,sg_i.CORE_PARSER_DEPENDENCIES_TO_REMOVE_COMPONENTS,sg_i.JAVA_BYTE_CODE_INSTRUCTIONS,sg_i.CORE_STATEMENTS,sg_i.JAVA_BIGGEST_PACKAGE_CYCLE_GROUP,sg_i.CORE_IGNORED_THRESHOLD_VIOLATIONS,sg_i.CORE_SOURCE_ELEMENT_COUNT,sg_i.CORE_IGNORED_CYCLIC_COMPONENTS,sg_i.JAVA_PACKAGE_CYCLE_GROUPS,sg_i.PERCENTAGEOFDEADCODE,sg_i.CORE_CYCLICITY_COMPONENTS,sg_i.CORE_DUPLICATED_LINES,sg_i.JAVA_PARSER_DEPENDENCIES_TO_REMOVE_PACKAGES,sg_i.STRUCTURAL_DEBT_COST,sg_i.CURRENT_VIRTUAL_MODEL,sg_i.VIRTUAL_MODEL_FEATURE_AVAILABLE,sg_i.NUMBER_OF_TASKS,sg_i.NUMBER_OF_UNAPPLICABLE_TASKS,sg_i.NUMBER_OF_RESOLUTIONS,sg_i.NUMBER_OF_UNAPPLICABLE_RESOLUTIONS,sg_i.NUMBER_OF_REFACTORINGS,sg_i.NUMBER_OF_UNAPPLICABLE_REFACTORINGS,sg_i.NUMBER_OF_PARSER_DEPENDENCIES_AFFECTED_BY_REFACTORINGS,sg_i.JAVA_CYCLIC_PACKAGES_PERCENT,sg_i.MAX_MODULE_NCCD,sg_i.ARCHITECTURE_FEATURE_AVAILABLE,sg_i.NUMBER_OF_ISSUES,sg_i.NUMBER_OF_CRITICAL_ISSUES_WITHOUT_RESOLUTION,sg_i.VIOLATING_COMPONENTS_PERCENT,sg_i.UNASSIGNED_COMPONENTS_PERCENT,sg_i.NUMBER_OF_THRESHOLD_VIOLATIONS,sg_i.NUMBER_OF_WORKSPACE_WARNINGS,sg_i.NUMBER_OF_IGNORED_CRITICAL_ISSUES
AWedEXD3C4KKKThcCqHV,30703,11.5,30387,10.9,29441,1.7,,"1=11568,2=2821,4=891,6=307,8=164,10=97,12=147","0=1306,5=535,10=396,20=175,30=170,60=46,90=34",,,,,,,,21021,,,,,,,,0.0,0.0,98298,24725,98298,24725,0.0,0.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19476,1565,408,5.6,,7317,1182,8.455049688005547,"{""level"":""ERROR"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""103"";""level"":""ERROR""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""24"";""level"":""ERROR""};{""metric"":""new_coverage"";""op"":""LT"";""period"":1;""error"":""80"";""actual"":""0.0"";""level"":""ERROR""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""16006"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""java-sonar-way-04122"";""language"":""java"";""name"":""Sonar way"";""rulesUpdatedAt"":""2017-03-16T16:05:56+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""xml-sonar-way-37996"";""language"":""xml"";""name"":""Sonar way"";""rulesUpdatedAt"":""2016-02-08T15:14:04+0000""}]",,,,,16006,103,560,7432,7314,597,3911,4,94,2107,1572,134,0,16006,0,0,0,0,0,0,0,204,204,204,204,,,223271,41360.0,1.0,6207000,3.6,2.4014061554220794,14277,3236,0,1.0,,,,,,,,,,ERROR,1606,651,14092,6294.0,5.0,4.0,2008-07-07 18:01:47,123,24,1995,380.0,4.0,4.0,347513,,206900,"css=236,java=172713,web=16138,xml=17813",,2793,2899,475,16830,,77095,,25329,10.9,,,86540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWedCu_QC4KKKThcCqGv,30703,11.5,,10.9,,1.7,,"1=11568,2=2821,4=891,6=307,8=164,10=97,12=147","0=1306,5=535,10=396,20=175,30=170,60=46,90=34",,,,,,,,21021,,,,,,,,0.0,,98298,,98298,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19476,1565,408,5.6,,,,,"{""level"":""ERROR"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""103"";""level"":""ERROR""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""24"";""level"":""ERROR""};{""metric"":""new_coverage"";""op"":""LT"";""period"":1;""error"":""80"";""actual"":""0.0"";""level"":""ERROR""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""16006"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""java-sonar-way-04122"";""language"":""java"";""name"":""Sonar way"";""rulesUpdatedAt"":""2017-03-16T16:05:56+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""xml-sonar-way-37996"";""language"":""xml"";""name"":""Sonar way"";""rulesUpdatedAt"":""2016-02-08T15:14:04+0000""}]",,,,,16006,103,560,7432,7314,597,,,,,,,0,16006,0,0,0,0,0,0,0,204,204,,,,,223271,,1.0,6207000,3.6,2.3961679936676443,14277,,0,,,,,,,,,,,ERROR,1606,,14092,,5.0,,2008-07-07 18:01:47,123,,1995,,4.0,,347513,,206900,"css=236,java=172713,web=16138,xml=17813",,2793,2899,475,16830,,77095,,25329,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWedBDbIC4KKKThcCqGA,30703,11.5,,10.9,,1.7,,"1=11568,2=2821,4=891,6=307,8=164,10=97,12=147","0=1306,5=535,10=396,20=175,30=170,60=46,90=34",,,,,,,,21024,,,,,,,,0.0,,98306,,98306,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19516,1567,409,5.6,,,,,"{""level"":""ERROR"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""103"";""level"":""ERROR""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""24"";""level"":""ERROR""};{""metric"":""new_coverage"";""op"":""LT"";""period"":1;""error"":""80"";""actual"":""0.0"";""level"":""ERROR""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""16004"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""java-sonar-way-04122"";""language"":""java"";""name"":""Sonar way"";""rulesUpdatedAt"":""2017-03-16T16:05:56+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""xml-sonar-way-37996"";""language"":""xml"";""name"":""Sonar way"";""rulesUpdatedAt"":""2016-02-08T15:14:04+0000""}]",,,,,16004,103,560,7431,7315,595,,,,,,,0,16004,0,0,0,0,0,0,0,204,204,,,,,223285,,1.0,6207330,3.6,2.401741641054298,14275,,0,,,,,,,,,,,ERROR,1606,,14092,,5.0,,2008-07-06 00:24:27,123,,1995,,4.0,,347522,,206911,"css=236,java=172724,web=16138,xml=17813",,2793,2899,475,16830,,77101,,25329,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWec_b8nC4KKKThcCqFg,30699,11.5,,10.9,,1.7,,"1=11566,2=2821,4=891,6=307,8=164,10=97,12=147","0=1307,5=534,10=396,20=175,30=170,60=46,90=34",,,,,,,,21024,,,,,,,,0.0,,98290,,98290,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19516,1567,409,5.6,,,,,"{""level"":""ERROR"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""103"";""level"":""ERROR""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""24"";""level"":""ERROR""};{""metric"":""new_coverage"";""op"":""LT"";""period"":1;""error"":""80"";""actual"":""0.0"";""level"":""ERROR""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""16000"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""java-sonar-way-04122"";""language"":""java"";""name"":""Sonar way"";""rulesUpdatedAt"":""2017-03-16T16:05:56+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""xml-sonar-way-37996"";""language"":""xml"";""name"":""Sonar way"";""rulesUpdatedAt"":""2016-02-08T15:14:04+0000""}]",,,,,16000,103,560,7429,7313,595,,,,,,,0,16000,0,0,0,0,0,0,0,204,204,,,,,223227,,1.0,6206280,3.6,2.3998741874606835,14271,,0,,,,,,,,,,,ERROR,1606,,14092,,5.0,,2008-07-04 01:51:40,123,,1995,,4.0,,347471,,206876,"css=236,java=172689,web=16138,xml=17813",,2793,2899,475,16828,,77085,,25329,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWec904qC4KKKThcCqE3,30670,11.5,,10.9,,1.7,,"1=11556,2=2819,4=891,6=306,8=164,10=97,12=147","0=1307,5=534,10=394,20=175,30=170,60=46,90=34",,,,,,,,21010,,,,,,,,0.0,,98188,,98188,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19462,1564,408,5.6,,,,,"{""level"":""ERROR"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""103"";""level"":""ERROR""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""24"";""level"":""ERROR""};{""metric"":""new_coverage"";""op"":""LT"";""period"":1;""error"":""80"";""actual"":""0.0"";""level"":""ERROR""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""15991"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""java-sonar-way-04122"";""language"":""java"";""name"":""Sonar way"";""rulesUpdatedAt"":""2017-03-16T16:05:56+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""xml-sonar-way-37996"";""language"":""xml"";""name"":""Sonar way"";""rulesUpdatedAt"":""2016-02-08T15:14:04+0000""}]",,,,,15991,103,560,7426,7309,593,,,,,,,0,15991,0,0,0,0,0,0,0,204,204,,,,,222875,,1.0,6200220,3.6,2.3878337220790002,14262,,0,,,,,,,,,,,ERROR,1606,,14092,,5.0,,2008-07-02 05:42:36,123,,1995,,4.0,,347152,,206674,"css=236,java=172487,web=16138,xml=17813",,2791,2897,475,16815,,76996,,25316,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWec8ODiC4KKKThcCqEe,30650,11.5,,10.9,,1.7,,"1=11551,2=2813,4=891,6=307,8=163,10=97,12=147","0=1306,5=534,10=393,20=175,30=170,60=46,90=34",,,,,,,,21001,,,,,,,,0.0,,98140,,98140,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19462,1564,408,5.6,,,,,"{""level"":""ERROR"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""103"";""level"":""ERROR""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""24"";""level"":""ERROR""};{""metric"":""new_coverage"";""op"":""LT"";""period"":1;""error"":""80"";""actual"":""0.0"";""level"":""ERROR""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""15990"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""java-sonar-way-04122"";""language"":""java"";""name"":""Sonar way"";""rulesUpdatedAt"":""2017-03-16T16:05:56+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""xml-sonar-way-37996"";""language"":""xml"";""name"":""Sonar way"";""rulesUpdatedAt"":""2016-02-08T15:14:04+0000""}]",,,,,15990,103,560,7425,7309,593,,,,,,,0,15990,0,0,0,0,0,0,0,204,204,,,,,222868,,1.0,6197790,3.6,2.3928964822236285,14261,,0,,,,,,,,,,,ERROR,1606,,14092,,5.0,,2008-07-02 00:32:34,123,,1995,,4.0,,346939,,206593,"css=236,java=172406,web=16138,xml=17813",,2789,2895,475,16802,,76963,,25290,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWec6jkQC4KKKThcCqEE,30650,11.5,,10.9,,1.7,,"1=11551,2=2813,4=891,6=307,8=163,10=97,12=147","0=1306,5=534,10=393,20=175,30=170,60=46,90=34",,,,,,,,21001,,,,,,,,0.0,,98140,,98140,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19462,1564,408,5.6,,,,,"{""level"":""ERROR"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""103"";""level"":""ERROR""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""24"";""level"":""ERROR""};{""metric"":""new_coverage"";""op"":""LT"";""period"":1;""error"":""80"";""actual"":""0.0"";""level"":""ERROR""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""15990"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""java-sonar-way-04122"";""language"":""java"";""name"":""Sonar way"";""rulesUpdatedAt"":""2017-03-16T16:05:56+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""xml-sonar-way-37996"";""language"":""xml"";""name"":""Sonar way"";""rulesUpdatedAt"":""2016-02-08T15:14:04+0000""}]",,,,,15990,103,560,7425,7309,593,,,,,,,0,15990,0,0,0,0,0,0,0,204,204,,,,,222868,,1.0,6197850,3.6,2.3928123645141257,14261,,0,,,,,,,,,,,ERROR,1606,,14092,,5.0,,2008-07-01 23:46:28,123,,1995,,4.0,,346941,,206595,"css=236,java=172408,web=16138,xml=17813",,2789,2895,475,16802,,76963,,25290,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWec47N9C4KKKThcCqDl,30650,11.5,,10.9,,1.7,,"1=11551,2=2813,4=891,6=307,8=163,10=97,12=147","0=1306,5=534,10=393,20=175,30=170,60=46,90=34",,,,,,,,21001,,,,,,,,0.0,,98140,,98140,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19462,1564,408,5.6,,,,,"{""level"":""ERROR"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""103"";""level"":""ERROR""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""24"";""level"":""ERROR""};{""metric"":""new_coverage"";""op"":""LT"";""period"":1;""error"":""80"";""actual"":""0.0"";""level"":""ERROR""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""15990"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""java-sonar-way-04122"";""language"":""java"";""name"":""Sonar way"";""rulesUpdatedAt"":""2017-03-16T16:05:56+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""xml-sonar-way-37996"";""language"":""xml"";""name"":""Sonar way"";""rulesUpdatedAt"":""2016-02-08T15:14:04+0000""}]",,,,,15990,103,560,7425,7309,593,,,,,,,0,15990,0,0,0,0,0,0,0,204,204,,,,,222868,,1.0,6197850,3.6,2.3928123645141257,14261,,0,,,,,,,,,,,ERROR,1606,,14092,,5.0,,2008-07-01 23:46:28,123,,1995,,4.0,,346945,,206595,"css=236,java=172408,web=16138,xml=17813",,2789,2895,475,16802,,76963,,25294,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWec3RZsC4KKKThcCppt,30649,11.5,,10.9,,1.7,,"1=11552,2=2812,4=891,6=307,8=163,10=97,12=147","0=1306,5=534,10=393,20=175,30=170,60=46,90=34",,,,,,,,21000,,,,,,,,0.0,,98139,,98139,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19462,1564,408,5.6,,,,,"{""level"":""ERROR"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""103"";""level"":""ERROR""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""24"";""level"":""ERROR""};{""metric"":""new_coverage"";""op"":""LT"";""period"":1;""error"":""80"";""actual"":""0.0"";""level"":""ERROR""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""15990"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""java-sonar-way-04122"";""language"":""java"";""name"":""Sonar way"";""rulesUpdatedAt"":""2017-03-16T16:05:56+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""xml-sonar-way-37996"";""language"":""xml"";""name"":""Sonar way"";""rulesUpdatedAt"":""2016-02-08T15:14:04+0000""}]",,,,,15990,103,560,7425,7309,593,,,,,,,0,15990,0,0,0,0,0,0,0,204,204,,,,,222868,,1.0,6197820,3.6,2.392645585417729,14261,,0,,,,,,,,,,,ERROR,1606,,14092,,5.0,,2008-06-25 19:17:56,123,,1995,,4.0,,346946,,206594,"css=236,java=172407,web=16138,xml=17813",,2789,2895,475,16802,,76962,,25296,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWec1ormC4KKKThcCppM,30649,11.5,,10.9,,1.7,,"1=11552,2=2812,4=891,6=307,8=163,10=97,12=147","0=1306,5=534,10=393,20=175,30=170,60=46,90=34",,,,,,,,21000,,,,,,,,0.0,,98140,,98140,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19462,1564,408,5.6,,,,,"{""level"":""ERROR"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""103"";""level"":""ERROR""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""24"";""level"":""ERROR""};{""metric"":""new_coverage"";""op"":""LT"";""period"":1;""error"":""80"";""actual"":""0.0"";""level"":""ERROR""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""15992"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""java-sonar-way-04122"";""language"":""java"";""name"":""Sonar way"";""rulesUpdatedAt"":""2017-03-16T16:05:56+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""xml-sonar-way-37996"";""language"":""xml"";""name"":""Sonar way"";""rulesUpdatedAt"":""2016-02-08T15:14:04+0000""}]",,,,,15992,103,560,7426,7310,593,,,,,,,0,15992,0,0,0,0,0,0,0,204,204,,,,,222878,,1.0,6197910,3.6,2.3931053069450794,14263,,0,,,,,,,,,,,ERROR,1606,,14092,,5.0,,2008-06-25 19:17:56,123,,1995,,4.0,,346949,,206597,"css=236,java=172410,web=16138,xml=17813",,2789,2895,475,16802,,76962,,25296,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
