analysis_key,complexity,file_complexity,complexity_in_classes,class_complexity,complexity_in_functions,function_complexity,class_complexity_distribution,function_complexity_distribution,file_complexity_distribution,xs,xs_percent,tangle_design,fat_class,fat_design,fat_leaf_package,fat_method,cognitive_complexity,tests,test_execution_time,test_errors,skipped_tests,test_failures,test_success_density,test_data,coverage,new_coverage,lines_to_cover,new_lines_to_cover,uncovered_lines,new_uncovered_lines,line_coverage,new_line_coverage,coverage_line_hits_data,conditions_to_cover,new_conditions_to_cover,uncovered_conditions,new_uncovered_conditions,branch_coverage,new_branch_coverage,conditions_by_line,covered_conditions_by_line,it_coverage,new_it_coverage,it_lines_to_cover,new_it_lines_to_cover,it_uncovered_lines,new_it_uncovered_lines,it_line_coverage,new_it_line_coverage,it_coverage_line_hits_data,it_conditions_to_cover,new_it_conditions_to_cover,it_uncovered_conditions,new_it_uncovered_conditions,it_branch_coverage,new_it_branch_coverage,it_conditions_by_line,it_covered_conditions_by_line,overall_coverage,new_overall_coverage,overall_lines_to_cover,new_overall_lines_to_cover,overall_uncovered_lines,new_overall_uncovered_lines,overall_line_coverage,new_overall_line_coverage,overall_coverage_line_hits_data,overall_conditions_to_cover,new_overall_conditions_to_cover,overall_uncovered_conditions,new_overall_uncovered_conditions,overall_branch_coverage,new_overall_branch_coverage,overall_conditions_by_line,overall_covered_conditions_by_line,executable_lines_data,arch_violations,arch_violations_weighted,public_api,public_documented_api_density,public_undocumented_api,commented_out_code_lines,duplicated_lines,duplicated_blocks,duplicated_files,duplicated_lines_density,duplications_data,new_duplicated_lines,new_duplicated_blocks,new_duplicated_lines_density,quality_gate_details,quality_profiles,arch-diagrams,s101.buildbreaker,Structure101_Web_Application_URL,project,violations,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,new_violations,new_blocker_violations,new_critical_violations,new_major_violations,new_minor_violations,new_info_violations,false_positive_issues,open_issues,reopened_issues,confirmed_issues,wont_fix_issues,afferent-couplings,efferent-couplings,number-of-classes-and-interfaces,package-dependency-cycles,missing_package_info,package,missing_package_info_count,package_count,package_info_count,java_count,sqale_index,new_technical_debt,sqale_rating,development_cost,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,new_code_smells,effort_to_reach_maintainability_rating_a,new_maintainability_rating,burned_budget,business_value,team_size,fat_method_list,s101_model_name,s101_model_sequential_actions,s101_model_refactoring_actions,s101_model_class_mappings,s101_model_alignment,alert_status,bugs,new_bugs,reliability_remediation_effort,new_reliability_remediation_effort,reliability_rating,new_reliability_rating,last_commit_date,vulnerabilities,new_vulnerabilities,security_remediation_effort,new_security_remediation_effort,security_rating,new_security_rating,lines,generated_lines,ncloc,ncloc_language_distribution,generated_ncloc,classes,files,directories,functions,accessors,statements,projects,comment_lines,comment_lines_density,ncloc_data,comment_lines_data,new_lines,sg_i.CORE_VIOLATIONS_COMPONENT_DEPENDENCIES,sg_i.CORE_BIGGEST_COMPONENT_CYCLE_GROUP,sg_i.CORE_UNASSIGNED_COMPONENTS,sg_i.CORE_EMPTY_ARTIFACT_COUNT,sg_i.CORE_LINES_OF_CODE,sg_i.CORE_NCCD,sg_i.CORE_DUPLICATES,sg_i.CORE_COMPONENT_DEPENDENCIES_TO_REMOVE_COMPONENTS,sg_i.CORE_CODE_COMMENT_LINES,sg_i.CORE_IGNORED_DUPLICATES,sg_i.CORE_THRESHOLD_VIOLATIONS,sg_i.CORE_COMMENT_LINES,sg_i.CORE_RELATIVE_CYCLICITY_COMPONENTS,sg_i.CORE_IGNORED_VIOLATIONS_PARSER_DEPENDENCIES,sg_i.CORE_CYCLIC_COMPONENTS,sg_i.JAVA_RELATIVE_CYCLICITY_PACKAGES,sg_i.CORE_VIOLATIONS_PARSER_DEPENDENCIES,sg_i.JAVA_COMPONENT_DEPENDENCIES_TO_REMOVE_PACKAGES,sg_i.CORE_TOTAL_LINES,sg_i.CORE_ARTIFACT_COUNT,sg_i.JAVA_IGNORED_CYCLIC_PACKAGES,sg_i.CORE_STRUCTURAL_DEBT_INDEX_COMPONENTS,sg_i.CORE_ACD,sg_i.JAVA_STRUCTURAL_DEBT_INDEX_PACKAGES,sg_i.JAVA_CYCLICITY_PACKAGES,sg_i.CORE_CCD,sg_i.CORE_VIOLATING_COMPONENTS,sg_i.JAVA_PACKAGES,sg_i.JAVA_CYCLIC_PACKAGES,sg_i.CORE_COMPONENTS,sg_i.CORE_MAX_ACD,sg_i.CORE_RACD,sg_i.CORE_COMPONENT_CYCLE_GROUPS,sg_i.CORE_PARSER_DEPENDENCIES_TO_REMOVE_COMPONENTS,sg_i.JAVA_BYTE_CODE_INSTRUCTIONS,sg_i.CORE_STATEMENTS,sg_i.JAVA_BIGGEST_PACKAGE_CYCLE_GROUP,sg_i.CORE_IGNORED_THRESHOLD_VIOLATIONS,sg_i.CORE_SOURCE_ELEMENT_COUNT,sg_i.CORE_IGNORED_CYCLIC_COMPONENTS,sg_i.JAVA_PACKAGE_CYCLE_GROUPS,sg_i.PERCENTAGEOFDEADCODE,sg_i.CORE_CYCLICITY_COMPONENTS,sg_i.CORE_DUPLICATED_LINES,sg_i.JAVA_PARSER_DEPENDENCIES_TO_REMOVE_PACKAGES,sg_i.STRUCTURAL_DEBT_COST,sg_i.CURRENT_VIRTUAL_MODEL,sg_i.VIRTUAL_MODEL_FEATURE_AVAILABLE,sg_i.NUMBER_OF_TASKS,sg_i.NUMBER_OF_UNAPPLICABLE_TASKS,sg_i.NUMBER_OF_RESOLUTIONS,sg_i.NUMBER_OF_UNAPPLICABLE_RESOLUTIONS,sg_i.NUMBER_OF_REFACTORINGS,sg_i.NUMBER_OF_UNAPPLICABLE_REFACTORINGS,sg_i.NUMBER_OF_PARSER_DEPENDENCIES_AFFECTED_BY_REFACTORINGS,sg_i.JAVA_CYCLIC_PACKAGES_PERCENT,sg_i.MAX_MODULE_NCCD,sg_i.ARCHITECTURE_FEATURE_AVAILABLE,sg_i.NUMBER_OF_ISSUES,sg_i.NUMBER_OF_CRITICAL_ISSUES_WITHOUT_RESOLUTION,sg_i.VIOLATING_COMPONENTS_PERCENT,sg_i.UNASSIGNED_COMPONENTS_PERCENT,sg_i.NUMBER_OF_THRESHOLD_VIOLATIONS,sg_i.NUMBER_OF_WORKSPACE_WARNINGS,sg_i.NUMBER_OF_IGNORED_CRITICAL_ISSUES
AVo808v4OQHNsFaZlXZU,11147,154.8,0,3.0,27684,9.4,,"1=954,2=851,4=397,6=205,8=128,10=88,12=163,20=66,30=103","0=40,5=2,10=1,20=3,30=6,60=3,90=17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,24,5,1.8,,,,,,"[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""js-sonar-way-07141"";""language"":""js"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:16+0000""};{""key"":""py-sonar-way-99322"";""language"":""py"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""}]",,,,,9979,10,23,4708,5068,170,0,0,0,0,0,0,0,9979,0,0,,,,,,,,,,,,103363,0.0,3.0,459750,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19605,,15325,"css=2323,js=6855,py=5478,web=669",,1,92,11,2955,0,22112,,1864,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVo808v4OQHNsFaZlXZT,11147,154.8,,3.0,,9.4,,"1=954,2=851,4=397,6=205,8=128,10=88,12=163,20=66,30=103","0=40,5=2,10=1,20=3,30=6,60=3,90=17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,24,5,1.8,,,,,,"[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""js-sonar-way-07141"";""language"":""js"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:16+0000""};{""key"":""py-sonar-way-99322"";""language"":""py"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""}]",,,,,9993,10,23,4716,5074,170,,,,,,,0,9993,0,0,,,,,,,,,,,,103507,,3.0,460200,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19628,,15340,"css=2338,js=6855,py=5478,web=669",,1,92,11,2955,0,22136,,1866,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVo808v4OQHNsFaZlXZS,11126,156.7,,3.0,,9.5,,"1=953,2=849,4=396,6=206,8=129,10=86,12=162,20=65,30=103","0=40,5=1,10=2,20=2,30=6,60=3,90=17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,22,4,1.6,,,,,,"[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""js-sonar-way-07141"";""language"":""js"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:16+0000""};{""key"":""py-sonar-way-99322"";""language"":""py"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""}]",,,,,9879,10,23,4646,5031,169,,,,,,,0,9879,0,0,,,,,,,,,,,,102927,,3.0,454260,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19370,,15142,"css=2221,js=6802,py=5450,web=669",,1,90,11,2949,0,21828,,1848,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVo808v4OQHNsFaZlXZR,11126,156.7,,3.0,,9.5,,"1=953,2=849,4=396,6=206,8=129,10=86,12=162,20=65,30=103","0=40,5=1,10=2,20=2,30=6,60=3,90=17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,22,4,1.6,,,,,,"[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""js-sonar-way-07141"";""language"":""js"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:16+0000""};{""key"":""py-sonar-way-99322"";""language"":""py"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""}]",,,,,9879,10,23,4646,5031,169,,,,,,,0,9879,0,0,,,,,,,,,,,,102927,,3.0,454230,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19366,,15141,"css=2221,js=6802,py=5450,web=668",,1,90,11,2949,0,21828,,1848,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVo808v4OQHNsFaZlXZQ,11126,156.7,,3.0,,9.5,,"1=953,2=849,4=396,6=206,8=129,10=86,12=162,20=65,30=103","0=40,5=1,10=2,20=2,30=6,60=3,90=17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,22,4,1.6,,,,,,"[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""js-sonar-way-07141"";""language"":""js"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:16+0000""};{""key"":""py-sonar-way-99322"";""language"":""py"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""}]",,,,,9879,10,23,4646,5031,169,,,,,,,0,9879,0,0,,,,,,,,,,,,102927,,3.0,454200,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19365,,15140,"css=2221,js=6802,py=5449,web=668",,1,90,11,2949,0,21827,,1848,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVo808v4OQHNsFaZlXZP,11124,156.7,,3.0,,9.5,,"1=953,2=848,4=396,6=206,8=129,10=86,12=162,20=65,30=103","0=40,5=1,10=2,20=2,30=6,60=3,90=17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,22,4,1.6,,,,,,"[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""js-sonar-way-07141"";""language"":""js"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:16+0000""};{""key"":""py-sonar-way-99322"";""language"":""py"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""}]",,,,,9880,10,23,4647,5031,169,,,,,,,0,9880,0,0,,,,,,,,,,,,102927,,3.0,454080,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19357,,15136,"css=2221,js=6802,py=5446,web=667",,1,90,11,2948,0,21824,,1848,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVo808v4OQHNsFaZlXZO,11124,156.7,,3.0,,9.5,,"1=953,2=848,4=396,6=206,8=129,10=86,12=162,20=65,30=103","0=40,5=1,10=2,20=2,30=6,60=3,90=17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,22,4,1.6,,,,,,"[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""js-sonar-way-07141"";""language"":""js"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:16+0000""};{""key"":""py-sonar-way-99322"";""language"":""py"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""}]",,,,,9880,10,23,4647,5031,169,,,,,,,0,9880,0,0,,,,,,,,,,,,102927,,3.0,454080,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19357,,15136,"css=2221,js=6802,py=5446,web=667",,1,90,11,2948,0,21824,,1848,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVo808v4OQHNsFaZlXZN,11124,156.7,,3.0,,9.5,,"1=953,2=848,4=396,6=206,8=129,10=86,12=162,20=65,30=103","0=40,5=1,10=2,20=2,30=6,60=3,90=17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,22,4,1.6,,,,,,"[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""js-sonar-way-07141"";""language"":""js"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:16+0000""};{""key"":""py-sonar-way-99322"";""language"":""py"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""}]",,,,,9884,10,23,4651,5031,169,,,,,,,0,9884,0,0,,,,,,,,,,,,102927,,3.0,448590,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19164,,14953,"css=2221,js=6802,py=5268,web=662",,1,90,11,2948,0,21824,,1849,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVo808v4OQHNsFaZlXZM,11124,156.7,,3.0,,9.5,,"1=953,2=848,4=396,6=206,8=129,10=86,12=162,20=65,30=103","0=40,5=1,10=2,20=2,30=6,60=3,90=17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,22,4,1.6,,,,,,"[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""js-sonar-way-07141"";""language"":""js"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:16+0000""};{""key"":""py-sonar-way-99322"";""language"":""py"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""}]",,,,,9880,10,23,4647,5031,169,,,,,,,0,9880,0,0,,,,,,,,,,,,102927,,3.0,448230,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19086,,14941,"css=2221,js=6802,py=5268,web=650",,1,90,11,2948,0,21824,,1848,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVo808v4OQHNsFaZlXZL,11121,156.6,,3.0,,9.5,,"1=953,2=847,4=396,6=206,8=129,10=86,12=162,20=65,30=103","0=40,5=1,10=2,20=2,30=6,60=3,90=17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,22,4,1.6,,,,,,"[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""js-sonar-way-07141"";""language"":""js"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:16+0000""};{""key"":""py-sonar-way-99322"";""language"":""py"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""}]",,,,,9879,10,23,4646,5031,169,,,,,,,0,9879,0,0,,,,,,,,,,,,102922,,3.0,447540,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19058,,14918,"css=2221,js=6802,py=5253,web=642",,1,90,11,2947,0,21810,,1848,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
