analysis_key,complexity,file_complexity,complexity_in_classes,class_complexity,complexity_in_functions,function_complexity,class_complexity_distribution,function_complexity_distribution,file_complexity_distribution,xs,xs_percent,tangle_design,fat_class,fat_design,fat_leaf_package,fat_method,cognitive_complexity,tests,test_execution_time,test_errors,skipped_tests,test_failures,test_success_density,test_data,coverage,new_coverage,lines_to_cover,new_lines_to_cover,uncovered_lines,new_uncovered_lines,line_coverage,new_line_coverage,coverage_line_hits_data,conditions_to_cover,new_conditions_to_cover,uncovered_conditions,new_uncovered_conditions,branch_coverage,new_branch_coverage,conditions_by_line,covered_conditions_by_line,it_coverage,new_it_coverage,it_lines_to_cover,new_it_lines_to_cover,it_uncovered_lines,new_it_uncovered_lines,it_line_coverage,new_it_line_coverage,it_coverage_line_hits_data,it_conditions_to_cover,new_it_conditions_to_cover,it_uncovered_conditions,new_it_uncovered_conditions,it_branch_coverage,new_it_branch_coverage,it_conditions_by_line,it_covered_conditions_by_line,overall_coverage,new_overall_coverage,overall_lines_to_cover,new_overall_lines_to_cover,overall_uncovered_lines,new_overall_uncovered_lines,overall_line_coverage,new_overall_line_coverage,overall_coverage_line_hits_data,overall_conditions_to_cover,new_overall_conditions_to_cover,overall_uncovered_conditions,new_overall_uncovered_conditions,overall_branch_coverage,new_overall_branch_coverage,overall_conditions_by_line,overall_covered_conditions_by_line,executable_lines_data,arch_violations,arch_violations_weighted,public_api,public_documented_api_density,public_undocumented_api,commented_out_code_lines,duplicated_lines,duplicated_blocks,duplicated_files,duplicated_lines_density,duplications_data,new_duplicated_lines,new_duplicated_blocks,new_duplicated_lines_density,quality_gate_details,quality_profiles,arch-diagrams,s101.buildbreaker,Structure101_Web_Application_URL,project,violations,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,new_violations,new_blocker_violations,new_critical_violations,new_major_violations,new_minor_violations,new_info_violations,false_positive_issues,open_issues,reopened_issues,confirmed_issues,wont_fix_issues,afferent-couplings,efferent-couplings,number-of-classes-and-interfaces,package-dependency-cycles,missing_package_info,package,missing_package_info_count,package_count,package_info_count,java_count,sqale_index,new_technical_debt,sqale_rating,development_cost,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,new_code_smells,effort_to_reach_maintainability_rating_a,new_maintainability_rating,burned_budget,business_value,team_size,fat_method_list,s101_model_name,s101_model_sequential_actions,s101_model_refactoring_actions,s101_model_class_mappings,s101_model_alignment,alert_status,bugs,new_bugs,reliability_remediation_effort,new_reliability_remediation_effort,reliability_rating,new_reliability_rating,last_commit_date,vulnerabilities,new_vulnerabilities,security_remediation_effort,new_security_remediation_effort,security_rating,new_security_rating,lines,generated_lines,ncloc,ncloc_language_distribution,generated_ncloc,classes,files,directories,functions,accessors,statements,projects,comment_lines,comment_lines_density,ncloc_data,comment_lines_data,new_lines,sg_i.CORE_VIOLATIONS_COMPONENT_DEPENDENCIES,sg_i.CORE_BIGGEST_COMPONENT_CYCLE_GROUP,sg_i.CORE_UNASSIGNED_COMPONENTS,sg_i.CORE_EMPTY_ARTIFACT_COUNT,sg_i.CORE_LINES_OF_CODE,sg_i.CORE_NCCD,sg_i.CORE_DUPLICATES,sg_i.CORE_COMPONENT_DEPENDENCIES_TO_REMOVE_COMPONENTS,sg_i.CORE_CODE_COMMENT_LINES,sg_i.CORE_IGNORED_DUPLICATES,sg_i.CORE_THRESHOLD_VIOLATIONS,sg_i.CORE_COMMENT_LINES,sg_i.CORE_RELATIVE_CYCLICITY_COMPONENTS,sg_i.CORE_IGNORED_VIOLATIONS_PARSER_DEPENDENCIES,sg_i.CORE_CYCLIC_COMPONENTS,sg_i.JAVA_RELATIVE_CYCLICITY_PACKAGES,sg_i.CORE_VIOLATIONS_PARSER_DEPENDENCIES,sg_i.JAVA_COMPONENT_DEPENDENCIES_TO_REMOVE_PACKAGES,sg_i.CORE_TOTAL_LINES,sg_i.CORE_ARTIFACT_COUNT,sg_i.JAVA_IGNORED_CYCLIC_PACKAGES,sg_i.CORE_STRUCTURAL_DEBT_INDEX_COMPONENTS,sg_i.CORE_ACD,sg_i.JAVA_STRUCTURAL_DEBT_INDEX_PACKAGES,sg_i.JAVA_CYCLICITY_PACKAGES,sg_i.CORE_CCD,sg_i.CORE_VIOLATING_COMPONENTS,sg_i.JAVA_PACKAGES,sg_i.JAVA_CYCLIC_PACKAGES,sg_i.CORE_COMPONENTS,sg_i.CORE_MAX_ACD,sg_i.CORE_RACD,sg_i.CORE_COMPONENT_CYCLE_GROUPS,sg_i.CORE_PARSER_DEPENDENCIES_TO_REMOVE_COMPONENTS,sg_i.JAVA_BYTE_CODE_INSTRUCTIONS,sg_i.CORE_STATEMENTS,sg_i.JAVA_BIGGEST_PACKAGE_CYCLE_GROUP,sg_i.CORE_IGNORED_THRESHOLD_VIOLATIONS,sg_i.CORE_SOURCE_ELEMENT_COUNT,sg_i.CORE_IGNORED_CYCLIC_COMPONENTS,sg_i.JAVA_PACKAGE_CYCLE_GROUPS,sg_i.PERCENTAGEOFDEADCODE,sg_i.CORE_CYCLICITY_COMPONENTS,sg_i.CORE_DUPLICATED_LINES,sg_i.JAVA_PARSER_DEPENDENCIES_TO_REMOVE_PACKAGES,sg_i.STRUCTURAL_DEBT_COST,sg_i.CURRENT_VIRTUAL_MODEL,sg_i.VIRTUAL_MODEL_FEATURE_AVAILABLE,sg_i.NUMBER_OF_TASKS,sg_i.NUMBER_OF_UNAPPLICABLE_TASKS,sg_i.NUMBER_OF_RESOLUTIONS,sg_i.NUMBER_OF_UNAPPLICABLE_RESOLUTIONS,sg_i.NUMBER_OF_REFACTORINGS,sg_i.NUMBER_OF_UNAPPLICABLE_REFACTORINGS,sg_i.NUMBER_OF_PARSER_DEPENDENCIES_AFFECTED_BY_REFACTORINGS,sg_i.JAVA_CYCLIC_PACKAGES_PERCENT,sg_i.MAX_MODULE_NCCD,sg_i.ARCHITECTURE_FEATURE_AVAILABLE,sg_i.NUMBER_OF_ISSUES,sg_i.NUMBER_OF_CRITICAL_ISSUES_WITHOUT_RESOLUTION,sg_i.VIOLATING_COMPONENTS_PERCENT,sg_i.UNASSIGNED_COMPONENTS_PERCENT,sg_i.NUMBER_OF_THRESHOLD_VIOLATIONS,sg_i.NUMBER_OF_WORKSPACE_WARNINGS,sg_i.NUMBER_OF_IGNORED_CRITICAL_ISSUES
AWHhG4Qb2_fMMS5C--KY,50890,21.1,50061,25.9,48309,2.8,,"1=8502,2=2929,4=817,6=310,8=904,10=482,12=544,20=147,30=72","0=1194,5=319,10=306,20=180,30=192,60=94,90=131",,,,,,,,,,,,,,,,0.0,,72762,0,72762,0,0.0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19112,67.6,6195,,11376,625,153,2.3,,0,0,,"{""level"":""WARN"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""9897"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""c++-sonar-way-94214"";""language"":""c++"";""name"":""Sonar way"";""rulesUpdatedAt"":""2018-02-20T12:18:20+0000""}]",,,,,9897,0,0,6,1551,8340,9897,0,0,6,1551,8340,0,9897,0,0,0,0,0,0,0,0,0,0,0,,,15995,15995.0,1.0,6994650,0.2,0.0,9871,9871,0,1.0,,,,,,,,,,WARN,26,26,130,130.0,3.0,3.0,2018-02-19 18:18:43,0,0,0,,1.0,1.0,486189,,233155,c++=233155,,1934,2416,273,17053,,120705,,71981,23.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWHgU0WM2_fMMS5C-9YZ,50890,21.1,,25.9,,2.8,,"1=8502,2=2929,4=817,6=310,8=904,10=482,12=544,20=147,30=72","0=1194,5=319,10=306,20=180,30=192,60=94,90=131",,,,,,,,,,,,,,,,0.0,,72762,,72762,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19112,67.6,6195,,11376,625,153,2.3,,,,,"{""level"":""WARN"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""9835"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""c++-sonar-way-94214"";""language"":""c++"";""name"":""Sonar way"";""rulesUpdatedAt"":""2018-02-20T12:18:20+0000""}]",,,,,9835,0,0,0,27,9808,,,,,,,0,9835,0,0,0,0,0,0,0,0,0,,,,,14575,,1.0,6994650,0.2,0.0,9835,,0,,,,,,,,,,,WARN,0,,0,,1.0,,2018-02-19 18:18:43,0,,0,,1.0,,486189,,233155,c++=233155,,1934,2416,273,17053,,120705,,71981,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWG9SHXC2_fMMS5C-9X6,63003,20.5,,23.4,,2.9,,"1=9503,2=4114,4=933,6=752,8=962,10=512,12=638,20=167,30=85","0=1194,5=559,10=491,20=338,30=253,60=97,90=138",,,,,,,,,,,,,,,,0.0,,84966,,84966,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19098,67.6,6192,,21406,1043,423,3.6,,,,,"{""level"":""WARN"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""54310"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""c++-sonar-way-94214"";""language"":""c++"";""name"":""Sonar way"";""rulesUpdatedAt"":""2018-02-20T12:18:20+0000""}]",,,,,54310,0,0,0,0,54310,,,,,,,0,54310,0,0,0,0,0,0,0,0,0,,,,,54310,,1.0,9096090,0.6,0.0,54310,,0,,,,,,,,,,,WARN,0,,0,,1.0,,2018-02-16 18:16:04,0,,0,,1.0,,587113,,303203,c++=303203,,2600,3070,303,20518,,150642,,83350,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWG8sUTr2_fMMS5C-pBP,63003,20.5,,23.4,,2.9,,"1=9503,2=4114,4=933,6=752,8=962,10=512,12=638,20=167,30=85","0=1194,5=559,10=491,20=338,30=253,60=97,90=138",,,,,,,,,,,,,,,,0.0,,84966,,84966,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19098,67.6,6192,,21406,1043,423,3.6,,,,,"{""level"":""WARN"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""83357"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""c++-sonar-way-94214"";""language"":""c++"";""name"":""Sonar way"";""rulesUpdatedAt"":""2018-02-20T12:18:20+0000""}]",,,,,83357,0,0,1,241,83115,,,,,,,0,83357,0,0,0,0,0,0,0,0,0,,,,,84250,,1.0,9096090,0.9,0.0,83342,,0,,,,,,,,,,,WARN,15,,75,,3.0,,2018-02-16 18:16:04,0,,0,,1.0,,587113,,303203,c++=303203,,2600,3070,303,20518,,150642,,83350,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWG4t2Y-2_fMMS5C-pBK,43926,14.3,,32.5,,2.1,,"1=9924,2=4179,4=941,6=751,8=234,10=134,12=213,20=55,30=18","0=1253,5=614,10=520,20=313,30=219,60=77,90=66",,,,,,,,,,,,,,,,0.0,,68135,,68135,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18740,88.2,2217,,20530,973,395,3.5,,,,,"{""level"":""OK"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""c++-sonar-way-94214"";""language"":""c++"";""name"":""Sonar way"";""rulesUpdatedAt"":""2018-02-20T12:18:20+0000""}]",,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,1.0,9133350,0.0,0.0,0,,0,,,,,,,,,,,OK,0,,0,,1.0,,2018-02-16 18:16:04,0,,0,,1.0,,586222,,304445,c++=304445,,1097,3062,303,17516,,117986,,83222,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWG4oCcN2_fMMS5C-pBF,43926,14.3,,32.5,,2.1,,"1=9924,2=4179,4=941,6=751,8=234,10=134,12=213,20=55,30=18","0=1253,5=614,10=520,20=313,30=219,60=77,90=66",,,,,,,,,,,,,,,,0.0,,68135,,68135,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18740,88.2,2217,,20530,973,395,3.5,,,,,"{""level"":""OK"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""c++-sonar-way-94214"";""language"":""c++"";""name"":""Sonar way"";""rulesUpdatedAt"":""2018-02-20T12:18:20+0000""}]",,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,1.0,9133350,0.0,0.0,0,,0,,,,,,,,,,,OK,0,,0,,1.0,,2018-02-16 18:16:04,0,,0,,1.0,,586222,,304445,c++=304445,,1097,3062,303,17516,,117986,,83222,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWG4mJzk2_fMMS5C-pBA,43926,14.3,,32.5,,2.1,,"1=9924,2=4179,4=941,6=751,8=234,10=134,12=213,20=55,30=18","0=1253,5=614,10=520,20=313,30=219,60=77,90=66",,,,,,,,,,,,,,,,0.0,,68135,,68135,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18740,88.2,2217,,20530,973,395,3.5,,,,,"{""level"":""OK"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""c++-sonar-way-94214"";""language"":""c++"";""name"":""Sonar way"";""rulesUpdatedAt"":""2018-02-20T12:18:20+0000""}]",,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,1.0,9133350,0.0,0.0,0,,0,,,,,,,,,,,OK,0,,0,,1.0,,2018-02-16 18:16:04,0,,0,,1.0,,586222,,304445,c++=304445,,1097,3062,303,17516,,117986,,83222,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWG4Vj8z2_fMMS5C-pA7,43926,14.3,,32.5,,2.1,,"1=9924,2=4179,4=941,6=751,8=234,10=134,12=213,20=55,30=18","0=1253,5=614,10=520,20=313,30=219,60=77,90=66",,,,,,,,,,,,,,,,0.0,,68135,,68135,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18740,88.2,2217,,20530,973,395,3.5,,,,,"{""level"":""OK"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""c++-sonar-way-94214"";""language"":""c++"";""name"":""Sonar way"";""rulesUpdatedAt"":""2018-02-20T12:18:20+0000""}]",,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,1.0,9133350,0.0,0.0,0,,0,,,,,,,,,,,OK,0,,0,,1.0,,2018-02-16 18:16:04,0,,0,,1.0,,586222,,304445,c++=304445,,1097,3062,303,17516,,117986,,83222,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWG4ToNs2_fMMS5C-pA2,43926,14.3,,32.5,,2.1,,"1=9924,2=4179,4=941,6=751,8=234,10=134,12=213,20=55,30=18","0=1253,5=614,10=520,20=313,30=219,60=77,90=66",,,,,,,,,,,,,,,,0.0,,68135,,68135,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18740,88.2,2217,,20530,973,395,3.5,,,,,"{""level"":""OK"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""c++-sonar-way-94214"";""language"":""c++"";""name"":""Sonar way"";""rulesUpdatedAt"":""2018-02-20T12:18:20+0000""}]",,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,1.0,9133350,0.0,0.0,0,,0,,,,,,,,,,,OK,0,,0,,1.0,,2018-02-16 18:16:04,0,,0,,1.0,,586222,,304445,c++=304445,,1097,3062,303,17516,,117986,,83222,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWG4OHau2_fMMS5C-pAQ,43925,14.3,,32.5,,2.1,,"1=9924,2=4180,4=940,6=751,8=234,10=134,12=213,20=55,30=18","0=1253,5=614,10=520,20=313,30=219,60=77,90=66",,,,,,,,,,,,,,,,0.0,,68135,,68135,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18740,88.2,2217,,20530,973,395,3.5,,,,,"{""level"":""OK"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""c++-sonar-way-94214"";""language"":""c++"";""name"":""Sonar way"";""rulesUpdatedAt"":""2018-02-20T12:18:20+0000""}]",,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,1.0,9133350,0.0,0.0,0,,0,,,,,,,,,,,OK,0,,0,,1.0,,2018-02-16 18:16:04,0,,0,,1.0,,586222,,304445,c++=304445,,1097,3062,303,17516,,117986,,83222,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
